年份,季別,GDP
1982,1,461774
1982,2,488234
1982,3,489504
1982,4,498511
1983,1,495361
1983,2,548158
1983,3,554774
1983,4,571153
1984,1,562116
1984,2,619704
1984,3,620474
1984,4,615946
1985,1,598221
1985,2,641515
1985,3,638890
1985,4,656430
1986,1,683623
1986,2,734284
1986,3,761436
1986,4,786105
1987,1,785754
1987,2,831502
1987,3,861649
1987,4,866030
1988,1,846395
1988,2,887657
1988,3,927086
1988,4,954524
1989,1,948504
1989,2,991943
1989,3,1023628
1989,4,1068389
1990,1,1071403
1990,2,1101045
1990,3,1114442
1990,4,1187398
1991,1,1191557
1991,2,1235624
1991,3,1259193
1991,4,1331645
1992,1,1348266
1992,2,1380027
1992,3,1401780
1992,4,1479284
1993,1,1501810
1993,2,1530725
1993,3,1550091
1993,4,1617528
1994,1,1626595
1994,2,1672847
1994,3,1689099
1994,4,1790855
1995,1,1764105
1995,2,1809832
1995,3,1851753
1995,4,1965372
1996,1,1928580
1996,2,1972253
1996,3,2020604
1996,4,2109868
1997,1,2089355
1997,2,2106006
1997,3,2166159
1997,4,2343629
1998,1,2278387
1998,2,2291608
1998,3,2345962
1998,4,2450380
1999,1,2408988
1999,2,2406800
1999,3,2428878
1999,4,2559837
2000,1,2493070
2000,2,2508527
2000,3,2593587
2000,4,2733365
2001,1,2524131
2001,2,2440228
2001,3,2475696
2001,4,2679374
2002,1,2580550
2002,2,2585960
2002,3,2661948
2002,4,2802453
2003,1,2652671
2003,2,2573103
2003,3,2755213
2003,4,2943042
2004,1,2807395
2004,2,2824458
2004,3,2952300
2004,4,3012088
2005,1,2888183
2005,2,2876093
2005,3,3034571
2005,4,3237828
2006,1,3015255
2006,2,3020629
2006,3,3200487
2006,4,3336216
2007,1,3164736
2007,2,3194285
2007,3,3453398
2007,4,3551498
2008,1,3324515
2008,2,3314490
2008,3,3242391
2008,4,3233700
2009,1,3107886
2009,2,3102866
2009,3,3265332
2009,4,3443361
2010,1,3411644
2010,2,3467834
2010,3,3604351
2010,4,3576516
2011,1,3552329
2011,2,3470395
2011,3,3645975
2011,4,3593502
2012,1,3573234
2012,2,3560576
2012,3,3761673
2012,4,3782282
2013,1,3670889
2013,2,3721253
2013,3,3877352
2013,4,4001234
2014,1,3864177
2014,2,3966585
2014,3,4137478
2014,4,4289807
2015,1,4215980
2015,2,4157711
2015,3,4286649
2015,4,4394740
2016,1,4318253
2016,2,4258596
2016,3,4393874
2016,4,4584545
2017,1,4386857
2017,2,4336020
2017,3,4577156
2017,4,4712354
2018,1,4484529
2018,2,4501842
2018,3,4621307
2018,4,4812361
2019,1,4576002
2019,2,4629762
2019,3,4774168
2019,4,4994165
2020,1,4735466
2020,2,4772375
2020,3,5103027
2020,4,5412884
2021,1,5296363
2021,2,5279560
2021,3,5388247
2021,4,5809121
2022,1,5647656
2022,2,5558046
2022,3,5718537
2022,4,5896191
2023,1,5489013
2023,2,5710934
2023,3,6016101
2023,4,6380686
2024,1,6111775
2024,2,6233160
2024,3,6437479
2024,4,6810440
